,Position_Title,Department,Employee_Annual_Salary
24769,GRANTS RESEARCH SPECIALIST,POLICE,91224.0
24770,POLICE OFFICER,POLICE,75372.0
24771,SANITATION LABORER,STREETS & SAN,70969.6
24772,POLICE OFFICER,POLICE,78012.0
24773,POLICE OFFICER,POLICE,78012.0
24774,FIRE ENGINEER,FIRE,93192.0
24775,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
24776,TREE TRIMMER,STREETS & SAN,73008.0
24777,POLICE OFFICER,POLICE,80724.0
24778,POLICE OFFICER,POLICE,61530.0
24779,FIREFIGHTER-EMT,FIRE,79140.0
24780,POLICE OFFICER,POLICE,86130.0
24781,FIREFIGHTER-EMT,FIRE,79140.0
24782,POLICE OFFICER,POLICE,83706.0
24783,FIREFIGHTER,FIRE,78012.0
24784,ECONOMIC DEVELOPMENT COORD,COMMUNITY DEVELOPMENT,92100.0
24785,POLICE OFFICER,POLICE,86130.0
24786,SANITATION LABORER,STREETS & SAN,70969.6
24787,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
24788,CUSTODIAL WORKER,AVIATION,41537.6
24789,MACHINIST (AUTO) POLICE MOTOR MAINT,GENERAL SERVICES,91353.6
24790,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
24791,POLICE OFFICER,POLICE,75372.0
24792,POLICE OFFICER,POLICE,75372.0
24793,POLICE OFFICER,POLICE,80724.0
24794,POLICE OFFICER,POLICE,78012.0
24795,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,42000.0
24796,SERGEANT,POLICE,99444.0
24797,POLICE OFFICER,POLICE,43104.0
24798,FIREFIGHTER-EMT,FIRE,88164.0
24799,LIEUTENANT,POLICE,119076.0
24800,POLICE OFFICER,POLICE,78012.0
24801,POLICE OFFICER,POLICE,78012.0
24802,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
24803,POLICE OFFICER,POLICE,80724.0
24804,POLICE OFFICER,POLICE,83706.0
24805,CROSSING GUARD,POLICE,19895.2
24806,POLICE OFFICER,POLICE,80724.0
24807,POLICE OFFICER,POLICE,78012.0
24808,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,52740.0
24809,DISABILITY SPECIALIST I,DISABILITIES,62916.0
24810,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,96262.4
24811,DIR / COMMUNITY LIAISON,HUMAN RELATIONS,86796.0
24812,FIREFIGHTER,FIRE,87324.0
24813,FIREFIGHTER,FIRE,50490.0
24814,ASPHALT LABORER,TRANSPORTN,76960.0
24815,SERGEANT,POLICE,109278.0
24816,POLICE OFFICER,POLICE,61530.0
24817,FIREFIGHTER,FIRE,50490.0
24818,POLICE OFFICER,POLICE,61530.0
24819,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
24820,POLICE OFFICER,POLICE,75372.0
24821,POLICE OFFICER,POLICE,83706.0
24822,FOREMAN OF STEAMFITTERS,WATER MGMNT,101920.0
24823,SUPERVISING HR RECORDS SPECIALIST,HUMAN RESOURCES,54492.0
24824,VOLUNTEER SERVICES COORD,FAMILY & SUPPORT,57828.0
24825,CLERK - BD OF ELECTIONS,BOARD OF ELECTION,39432.0
24826,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
24827,STEAMFITTER,WATER MGMNT,95680.0
24828,POLICE OFFICER,POLICE,75372.0
24829,POLICE OFFICER,POLICE,80724.0
24830,LABORER - APPRENTICE,WATER MGMNT,69264.0
24831,FIREFIGHTER,FIRE,87324.0
24832,POLICE OFFICER,POLICE,80724.0
24833,POLICE OFFICER,POLICE,80724.0
24834,AUDIO-VISION TESTER,FAMILY & SUPPORT,41784.0
24835,POLICE OFFICER,POLICE,78012.0
24836,PUBLIC HEALTH ADMINISTRATOR II,HEALTH,76428.0
24837,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,96444.0
24838,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24839,PAINTER,TRANSPORTN,84760.0
24840,POLICE OFFICER,POLICE,65016.0
24841,POLICE OFFICER,POLICE,78012.0
24842,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24843,FIREFIGHTER,FIRE,80724.0
24844,SERGEANT,POLICE,105864.0
24845,SERGEANT,POLICE,105864.0
24846,POLICE OFFICER,POLICE,65016.0
24847,SERGEANT,POLICE,102564.0
24848,POLICE OFFICER / FLD TRNG OFFICER,POLICE,79170.0
24849,PARAMEDIC,FIRE,80724.0
24850,PARAMEDIC I/C,FIRE,87372.0
24851,COORD OF SPECIAL PROJECTS,COMMUNITY DEVELOPMENT,84780.0
24852,SUPRVNG BUILDING/CONTRUCT INSPECTOR,BUILDINGS,110004.0
24853,POLICE OFFICER,POLICE,86130.0
24854,FIREFIGHTER-EMT,FIRE,91680.0
24855,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
24856,POLICE OFFICER,POLICE,80724.0
24857,POLICE OFFICER,POLICE,75372.0
24858,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24859,MANAGER OF BUILDINGS SERVICES,GENERAL SERVICES,84780.0
24860,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
24861,POLICE OFFICER,POLICE,65016.0
24862,PARAMEDIC I/C,FIRE,87372.0
24863,SENIOR BUDGET ANALYST,BUDGET & MGMT,80256.0
24864,POLICE OFFICER,POLICE,78012.0
24865,POLICE OFFICER,POLICE,78012.0
24866,PARAMEDIC I/C,FIRE,93192.0
24867,POLICE OFFICER,POLICE,68382.0
24868,HOISTING ENGINEER,WATER MGMNT,95888.0
24869,STAFF ASST,PUBLIC LIBRARY,55584.0
24870,POLICE OFFICER,POLICE,86130.0
24871,POLICE OFFICER,POLICE,80724.0
24872,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,87228.0
24873,POLICE OFFICER,POLICE,80724.0
24874,SIGN HANGER,TRANSPORTN,64500.8
24875,POLICE OFFICER,POLICE,75372.0
24876,EXECUTIVE ASST,FIRE,115644.0
24877,FIRE ENGINEER,FIRE,84396.0
24878,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,100182.0
24879,SANITATION LABORER,STREETS & SAN,70969.6
24880,POLICE OFFICER,POLICE,78012.0
24881,POLICE OFFICER,POLICE,80724.0
24882,POLICE OFFICER,POLICE,83706.0
24883,LEGISLATIVE AIDE,CITY COUNCIL,29208.0
24884,POLICE OFFICER,POLICE,78012.0
24885,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24886,POLICE OFFICER,POLICE,78012.0
24887,POLICE OFFICER,POLICE,75372.0
24888,BUILDING/CONSTRUCTION INSPECTOR,HEALTH,100284.0
24889,POLICE OFFICER,POLICE,80724.0
24890,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,97332.0
24891,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24892,ATTORNEY,FAMILY & SUPPORT,102708.0
24893,ASST TO THE COMMISSIONER,WATER MGMNT,62640.0
24894,LINEMAN,TRANSPORTN,93288.0
24895,POLICE OFFICER,POLICE,78012.0
24896,FIREFIGHTER,FIRE,87324.0
24897,POLICE OFFICER,POLICE,80724.0
24898,POLICE OFFICER,POLICE,65016.0
24899,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24900,SUPPORT SERVICES COORD,FAMILY & SUPPORT,59976.0
24901,POLICE OFFICER,POLICE,78012.0
24902,POLICE OFFICER,POLICE,80724.0
24903,SANITATION LABORER,STREETS & SAN,70969.6
24904,POLICE OFFICER,POLICE,75372.0
24905,FIREFIGHTER,FIRE,87324.0
24906,PARAMEDIC,FIRE,78012.0
24907,POLICE OFFICER,POLICE,65016.0
24908,POLICE OFFICER,POLICE,78012.0
24909,ASST COMMISSIONER,COMMUNITY DEVELOPMENT,92988.0
24910,SANITATION LABORER,STREETS & SAN,70969.6
24911,POLICE OFFICER,POLICE,78012.0
24912,CROSSING GUARD,POLICE,17316.0
24913,POLICE OFFICER,POLICE,78012.0
24914,POLICE COMMUNICATIONS OPERATOR II,OEMC,63552.0
24915,AVIATION SECURITY OFFICER - HOURLY,AVIATION,21902.4
24916,FIREFIGHTER,FIRE,80724.0
24917,CUSTODIAL WORKER,AVIATION,29016.0
24918,FIREFIGHTER-EMT,FIRE,84762.0
24919,POLICE OFFICER,POLICE,75372.0
24920,POLICE OFFICER,POLICE,65016.0
24921,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
24922,POLICE OFFICER,POLICE,83706.0
24923,STEAMFITTER,TRANSPORTN,95680.0
24924,FIREFIGHTER-EMT,FIRE,79140.0
24925,SUPERVISING ENVIRONMENTAL INSPECTOR,HEALTH,70380.0
24926,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
24927,POLICE OFFICER,POLICE,75372.0
24928,SERGEANT,POLICE,109278.0
24929,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,96262.4
24930,ELECTRICAL MECHANIC,OEMC,89440.0
24931,POLICE OFFICER,POLICE,78012.0
24932,POLICE OFFICER,POLICE,75372.0
24933,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
24934,FIRE COMMUNICATIONS OPERATOR II,OEMC,90202.68
24935,POLICE OFFICER,POLICE,83706.0
24936,POLICE OFFICER,POLICE,65016.0
24937,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,90540.0
24938,POLICE OFFICER,POLICE,80724.0
24939,POLICE OFFICER,POLICE,80724.0
24940,LIEUTENANT-EMT,FIRE,104742.0
24941,SUPPORT SERVICES COORD,FAMILY & SUPPORT,63456.0
24942,FIREFIGHTER-EMT,FIRE,79140.0
24943,LABORER - APPRENTICE,WATER MGMNT,69264.0
24944,MOTOR TRUCK DRIVER,GENERAL SERVICES,70408.0
24945,ADMINISTRATIVE ASST III,FIRE,69648.0
24946,FIELD VEHICLE INVESTIGATOR,STREETS & SAN,66024.0
24947,CROSSING GUARD,POLICE,16525.6
24948,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
24949,PARAMEDIC I/C,FIRE,84396.0
24950,POLICE OFFICER,POLICE,86130.0
24951,GENERAL LABORER - DSS,STREETS & SAN,41849.6
24952,POLICE OFFICER,POLICE,75372.0
24953,REFUSE COLLECTION COORD,STREETS & SAN,87228.0
24954,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
24955,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24956,LIEUTENANT,FIRE,99756.0
24957,FIREFIGHTER,FIRE,50490.0
24958,EQUIPMENT DISPATCHER,STREETS & SAN,71635.2
24959,DIR OF LIBRARY PERSONNEL,PUBLIC LIBRARY,108444.0
24960,GENERAL LABORER - DSS,STREETS & SAN,41849.6
24961,LIEUTENANT,FIRE,102978.0
24962,ASST TO THE EXEC DIR,BOARD OF ELECTION,67896.0
24963,POLICE OFFICER,POLICE,80724.0
24964,FIREFIGHTER,FIRE,75372.0
24965,SENIOR DATA ENTRY OPERATOR,TRANSPORTN,48048.0
24966,CLERK III,POLICE,41784.0
24967,DETENTION AIDE,POLICE,46656.0
24968,AVIATION SECURITY SERGEANT,AVIATION,59796.0
24969,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,41784.0
24970,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
24971,POLICE OFFICER,POLICE,78012.0
24972,SERGEANT,POLICE,105864.0
24973,POLICE OFFICER,POLICE,83706.0
24974,POLICE OFFICER,POLICE,78012.0
24975,POLICE OFFICER,POLICE,65016.0
24976,PARAMEDIC FIELD CHIEF,FIRE,126402.0
24977,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,89440.0
24978,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,91404.0
24979,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
24980,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
24981,PARAMEDIC,FIRE,78012.0
24982,POLICE OFFICER,POLICE,78012.0
24983,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,57048.0
24984,HOISTING ENGINEER,AVIATION,95888.0
24985,ASST TO THE COMMISSIONER,AVIATION,70380.0
24986,CHIEF,POLICE,176532.0
24987,LEGISLATIVE AIDE,CITY COUNCIL,65676.0
24988,POLICE OFFICER,POLICE,78012.0
24989,POLICE OFFICER,POLICE,80724.0
24990,SERGEANT,POLICE,109278.0
24991,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
24992,PARAMEDIC I/C,FIRE,84396.0
24993,POLICE OFFICER,POLICE,75372.0
24994,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
24995,POLICE OFFICER,POLICE,78012.0
24996,ARCHITECT III,COMMUNITY DEVELOPMENT,91224.0
24997,POLICE OFFICER,POLICE,80724.0
24998,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24999,DETENTION AIDE,POLICE,66552.0
25000,SANITATION LABORER,STREETS & SAN,70969.6
25001,SUPERVISING FIRE COMMUNICATIONS OPERATOR,OEMC,103688.04
25002,ASST TO THE MAYOR,MAYOR'S OFFICE,150000.0
25003,ASST GENERAL SUPT OF STREETS AND SANITATION,TRANSPORTN,106884.0
25004,SERGEANT,POLICE,109278.0
25005,SIGN HANGER,TRANSPORTN,64500.8
25006,HOISTING ENGINEER,TRANSPORTN,95888.0
25007,SUPERINTENDENT'S CHIEF OF STAFF,POLICE,162012.0
25008,POLICE OFFICER,POLICE,80724.0
25009,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
25010,FORESTRY SUPVSR,STREETS & SAN,75888.0
25011,PARAMEDIC,FIRE,75372.0
25012,CROSSING GUARD,POLICE,18148.0
25013,FIREFIGHTER-EMT,FIRE,79140.0
25014,POLICE OFFICER,POLICE,78012.0
25015,CHIEF INVESTIGATOR,CITY COUNCIL,69684.0
25016,HOSPITALITY WORKER,FAMILY & SUPPORT,9516.0
25017,POLICE OFFICER,POLICE,80724.0
25018,POLICE OFFICER,POLICE,75372.0
25019,FIREFIGHTER-EMT,FIRE,81906.0
25020,POLICE OFFICER,POLICE,80724.0
25021,POLICE OFFICER,POLICE,80724.0
25022,LIEUTENANT-EMT,FIRE,98394.0
25023,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
25024,POLICE OFFICER,POLICE,80724.0
25025,POLICE OFFICER,POLICE,80724.0
25026,LIEUTENANT,FIRE,96648.0
25027,CLERK III,POLICE,48048.0
25028,POLICE OFFICER,POLICE,75372.0
25029,SERGEANT,POLICE,102564.0
25030,SERGEANT,POLICE,102564.0
25031,CAPTAIN-EMT,FIRE,121428.0
25032,GENERAL LABORER - DSS,STREETS & SAN,41849.6
25033,REFUSE COLLECTION COORD,STREETS & SAN,91404.0
25034,POLICE OFFICER / FLD TRNG OFFICER,POLICE,87918.0
25035,COMMANDER,POLICE,154932.0
25036,FOREMAN OF CEMENT FINISHERS,TRANSPORTN,92248.0
25037,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,89440.0
25038,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
25039,LIEUTENANT,POLICE,119076.0
25040,POLICE OFFICER,POLICE,61530.0
25041,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
25042,FIRE ENGINEER,FIRE,87372.0
25043,REFUSE COLLECTION COORD,STREETS & SAN,83220.0
25044,SENIOR COMPANION,FAMILY & SUPPORT,2756.0
25045,CAPTAIN-EMT,FIRE,121428.0
25046,SENIOR HELP DESK TECHNICIAN,DoIT,76428.0
25047,ACCOUNTANT IV,FAMILY & SUPPORT,91224.0
25048,FIRE ENGINEER-EMT,FIRE,97836.0
25049,PARAMEDIC,FIRE,87324.0
25050,LIEUTENANT-EMT,FIRE,108132.0
25051,ACCOUNTANT IV,FAMILY & SUPPORT,91224.0
25052,POLICE OFFICER,POLICE,78012.0
25053,POLICE OFFICER,POLICE,65016.0
25054,PARAMEDIC I/C,FIRE,81672.0
25055,LIEUTENANT,POLICE,122718.0
25056,ASST CORPORATION COUNSEL SUPVSR,LAW,86376.0
25057,POLICE OFFICER,POLICE,78012.0
25058,POLICE OFFICER,POLICE,80724.0
25059,FIREFIGHTER-EMT,FIRE,79140.0
25060,SERGEANT,POLICE,102564.0
25061,POLICE OFFICER,POLICE,78012.0
25062,CONSTRUCTION LABORER,WATER MGMNT,76960.0
25063,CLINICAL THERAPIST III,HEALTH,86532.0
25064,SERGEANT,POLICE,102564.0
25065,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,55212.0
25066,POLICE OFFICER,POLICE,80724.0
25067,POLICE OFFICER,POLICE,83706.0
25068,OPERATING ENGINEER-GROUP C,AVIATION,91457.6
25069,POLICE OFFICER,POLICE,61530.0
25070,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
25071,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
25072,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,100182.0
25073,WATER QUALITY INSPECTOR I/C,WATER MGMNT,63276.0
25074,POLICE OFFICER,POLICE,80724.0
25075,POLICE OFFICER / FLD TRNG OFFICER,POLICE,81900.0
25076,POLICE OFFICER,POLICE,80724.0
25077,FIREFIGHTER-EMT,FIRE,79140.0
25078,POLICE OFFICER,POLICE,78012.0
25079,POLICE OFFICER,POLICE,83706.0
25080,GENERAL LABORER - DSS,STREETS & SAN,41849.6
25081,POLICE OFFICER,POLICE,75372.0
25082,DEPUTY CORPORATION COUNSEL,LAW,137076.0
25083,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
25084,PARKING ENFORCEMENT AIDE,FINANCE,45924.0
25085,ASST SPECIALIST IN DISABILITY,DISABILITIES,57828.0
25086,POLICE COMMUNICATIONS OPERATOR I,OEMC,80136.0
25087,FINANCIAL PLANNING ANALYST,COMMUNITY DEVELOPMENT,78000.0
25088,POLICE OFFICER,POLICE,43104.0
25089,CROSSING GUARD,POLICE,16525.6
25090,CAULKER,WATER MGMNT,95784.0
25091,SANITATION LABORER,STREETS & SAN,70969.6
25092,SANITATION LABORER,STREETS & SAN,70969.6
25093,POLICE OFFICER,POLICE,80724.0
25094,SANITATION LABORER,STREETS & SAN,70969.6
25095,CUSTODIAL WORKER,AVIATION,30056.0
25096,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,84756.0
25097,FIRE ENGINEER-EMT,FIRE,91740.0
25098,POLICE OFFICER,POLICE,80724.0
25099,POLICE OFFICER,POLICE,75372.0
25100,DETENTION AIDE,POLICE,52764.0
25101,POLICE OFFICER,POLICE,83706.0
25102,POLICE OFFICER,POLICE,75372.0
25103,LINEMAN,OEMC,93288.0
25104,DEPUTY CHIEF,POLICE,162012.0
25105,POLICE OFFICER,POLICE,65016.0
25106,POLICE OFFICER,POLICE,71748.0
25107,CROSSING GUARD,POLICE,16525.6
25108,AIRPORT OPERATIONS SUPVSR I,AVIATION,59544.0
25109,POLICE OFFICER,POLICE,43104.0
25110,POLICE OFFICER,POLICE,80724.0
25111,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
25112,POLICE OFFICER,POLICE,86130.0
25113,POLICE OFFICER,POLICE,78012.0
25114,LINEMAN,OEMC,93288.0
25115,POLICE OFFICER,POLICE,80724.0
25116,ALDERMANIC AIDE,CITY COUNCIL,15120.0
25117,CAPTAIN-EMT,FIRE,117828.0
25118,CROSSING GUARD,POLICE,16525.6
25119,POLICE OFFICER,POLICE,83706.0
25120,POLICE OFFICER,POLICE,83706.0
25121,CARPENTER,GENERAL SERVICES,88441.6
25122,POLICE OFFICER,POLICE,75372.0
25123,POLICE OFFICER,POLICE,75372.0
25124,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
25125,FIRE ENGINEER-EMT,FIRE,91740.0
25126,REVENUE INVESTIGATOR II,BUSINESS AFFAIRS,72936.0
25127,FIREFIGHTER,FIRE,80724.0
25128,POLICE OFFICER,POLICE,86130.0
25129,POLICE OFFICER,POLICE,78012.0
25130,FIREFIGHTER,FIRE,75372.0
25131,POLICE OFFICER,POLICE,83706.0
25132,SENIOR DATA ENTRY OPERATOR,POLICE,50280.0
25133,FIREFIGHTER,FIRE,78012.0
25134,POLICE OFFICER,POLICE,86130.0
25135,POLICE OFFICER,POLICE,75372.0
25136,POLICE OFFICER,POLICE,75372.0
25137,CONCRETE LABORER,TRANSPORTN,76960.0
25138,POLICE OFFICER,POLICE,75372.0
25139,BRIDGE OPERATOR,TRANSPORTN,51804.0
25140,HUMAN SERVICE SPECIALIST II,FAMILY & SUPPORT,59976.0
25141,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
25142,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
25143,POLICE OFFICER,POLICE,78012.0
25144,POLICE OFFICER,POLICE,75372.0
25145,POLICE OFFICER,POLICE,71748.0
25146,LIEUTENANT-EMT,FIRE,108132.0
25147,HOISTING ENGINEER,STREETS & SAN,95888.0
25148,POLICE OFFICER,POLICE,65016.0
25149,BATTALION CHIEF - EMT,FIRE,132720.0
25150,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
25151,HOISTING ENGINEER,WATER MGMNT,95888.0
25152,CONSTRUCTION EQUIPMENT INSPECTOR,BUILDINGS,104208.0
25153,PARAMEDIC FIELD CHIEF,FIRE,122748.0
25154,FIREFIGHTER,FIRE,80724.0
25155,POLICE COMMUNICATIONS OPERATOR II,OEMC,87912.0
25156,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
25157,LINEMAN,TRANSPORTN,93288.0
25158,AVIATION SECURITY OFFICER,AVIATION,66552.0
25159,CEMENT FINISHER,WATER MGMNT,88088.0
25160,POLICE OFFICER,POLICE,75372.0
25161,POLICE OFFICER,POLICE,78012.0
25162,PROGRAMMER/ANALYST,FIRE,87864.0
25163,POLICE OFFICER,POLICE,86130.0
25164,LINEMAN,TRANSPORTN,93288.0
25165,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
25166,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
25167,LIEUTENANT-EMT,FIRE,104742.0
25168,FIREFIGHTER-EMT,FIRE,84762.0
25169,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
25170,AVIATION SECURITY OFFICER,AVIATION,69708.0
25171,FIREFIGHTER,FIRE,80724.0
25172,CAPTAIN-EMT,FIRE,121428.0
25173,ASST CORPORATION COUNSEL,LAW,61980.0
25174,POLICE OFFICER / FLD TRNG OFFICER,POLICE,84756.0
25175,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
25176,PARKING ENFORCEMENT AIDE,FINANCE,45924.0
25177,POLICE OFFICER,POLICE,80724.0
25178,LIBRARY CLERK,PUBLIC LIBRARY,36348.0
25179,CLERK IV,COMMUNITY DEVELOPMENT,60600.0
25180,POLICE COMMUNICATIONS OPERATOR II,OEMC,76452.0
25181,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,52740.0
25182,FIREFIGHTER-EMT,FIRE,81906.0
25183,SENIOR ARCHIVAL SPECIALIST,PUBLIC LIBRARY,56472.0
25184,WATER METER ASSESSOR,WATER MGMNT,87228.0
25185,HOISTING ENGINEER,TRANSPORTN,93184.0
25186,TREE TRIMMER,STREETS & SAN,73008.0
25187,DEPUTY COMMISSIONER,DISABILITIES,96456.0
25188,CONSTRUCTION LABORER,WATER MGMNT,76960.0
25189,ELECTRICAL MECHANIC,AVIATION,89440.0
25190,POLICE OFFICER,POLICE,78012.0
25191,CONSTRUCTION LABORER,WATER MGMNT,76960.0
25192,CROSSING GUARD,POLICE,19895.2
25193,CONCRETE LABORER,TRANSPORTN,76960.0
25194,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
25195,POLICE OFFICER,POLICE,75372.0
25196,CLERK IV,WATER MGMNT,60600.0
25197,POLICE OFFICER,POLICE,80724.0
25198,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,93024.0
25199,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,81900.0
25200,POLICE OFFICER,POLICE,78012.0
25201,FOREMAN OF MACHINISTS,WATER MGMNT,96553.6
25202,POLICE OFFICER,POLICE,61530.0
25203,POLICE OFFICER,POLICE,75372.0
25204,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,39912.0
25205,POLICE OFFICER,POLICE,78012.0
25206,POLICE OFFICER,POLICE,80724.0
25207,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
25208,POLICE OFFICER,POLICE,83706.0
25209,POLICE OFFICER,POLICE,83706.0
25210,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
25211,CONCRETE LABORER,TRANSPORTN,76960.0
25212,FOREMAN OF ELECTRICAL MECHANICS,AVIATION,95680.0
25213,CONSTRUCTION LABORER,WATER MGMNT,76960.0
25214,HOISTING ENGINEER,WATER MGMNT,95888.0
25215,POLICE FORENSIC INVESTIGATOR I,POLICE,102978.0
25216,FIREFIGHTER,FIRE,78012.0
25217,BATTALION CHIEF - EMT,FIRE,132720.0
25218,POLICE OFFICER,POLICE,78012.0
25219,ADMINISTRATIVE ASST III,TRANSPORTN,63456.0
25220,SERGEANT,POLICE,99444.0
25221,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
25222,HOISTING ENGINEER,WATER MGMNT,95888.0
25223,POLICE OFFICER,POLICE,80724.0
25224,LIEUTENANT,POLICE,119076.0
25225,POLICE OFFICER,POLICE,80724.0
25226,FIREFIGHTER/PARAMEDIC,FIRE,83856.0
25227,LIEUTENANT-EMT,FIRE,108132.0
25228,MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
25229,BATTALION CHIEF - EMT,FIRE,132720.0
25230,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
25231,POLICE OFFICER,POLICE,80724.0
25232,COMMANDER,POLICE,154932.0
25233,POLICE OFFICER,POLICE,78012.0
25234,STAFF ASST,COMMUNITY DEVELOPMENT,64548.0
25235,ASST TO THE ALDERMAN,CITY COUNCIL,67344.0
25236,POLICE OFFICER,POLICE,43104.0
25237,LIEUTENANT,POLICE,119076.0
25238,CHIEF BOILER INSPECTOR,BUILDINGS,105809.64
25239,HOISTING ENGINEER,WATER MGMNT,95888.0
25240,CAPTAIN,POLICE,125790.0
25241,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,52980.0
25242,FIRE ENGINEER,FIRE,93192.0
25243,DIR OF ADMINISTRATION,LAW,92100.0
25244,SANITATION LABORER,STREETS & SAN,70969.6
25245,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
25246,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
25247,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
25248,AVIATION SECURITY OFFICER - HOURLY,AVIATION,21902.4
25249,WATCHMAN,GENERAL SERVICES,43097.6
25250,POLICE OFFICER,POLICE,83706.0
25251,SERGEANT,POLICE,99444.0
25252,FIREFIGHTER-EMT,FIRE,79140.0
25253,FIRE ENGINEER-PARAMEDIC,FIRE,93930.0
25254,POLICE OFFICER,POLICE,65016.0
25255,FIREFIGHTER,FIRE,80724.0
25256,POLICE OFFICER,POLICE,83706.0
25257,HOISTING ENGINEER,WATER MGMNT,95888.0
25258,HOISTING ENGINEER,WATER MGMNT,95888.0
25259,POLICE OFFICER,POLICE,43104.0
25260,CAPTAIN,POLICE,122748.0
25261,POLICE OFFICER,POLICE,61530.0
25262,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
25263,LIEUTENANT-PARAMEDIC,FIRE,110712.0
25264,AUDITOR I,FINANCE,76524.0
25265,LIEUTENANT,POLICE,115566.0
25266,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
